pid,condition,seed,e_family,i_family,trial_type,file1,file2,trial_index,key_press,correct,rt,time_elapsed,trial_purpose
2,contrast,1580170206992,Chinese,Thai,catlearncategorize,./Family1/226001.png,./Family2/28771.png,2,73,true,1477,4912,learn
2,contrast,1580170206992,Chinese,Thai,catlearncategorize,./Family1/73371.png,./Family2/301420.png,3,69,false,507,6624,learn
